date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:57	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:34:57	37211/37211	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:51%20GMT	https://preview.colorlib.com/theme/capitalshop/	E:/ecom/preview.colorlib.com/theme/capitalshop/index.html	(from )
12:34:58	1174/1174	---M--	200	added ('OK')	image/png	etag:%22496-5bb3fd5fbe34a%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/favicon.png	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/favicon.png	(from https://preview.colorlib.com/theme/capitalshop/)
12:34:58	26023/26023	---M-Z	200	added ('OK')	text/css	etag:%2265a7-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/bootstrap.min.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:34:59	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/owl.carousel.min.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:00	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b779c9ee-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/slicknav.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:00	977/977	---M-Z	200	added ('OK')	text/css	etag:%223d1-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:01	34524/34524	---M-Z	200	added ('OK')	text/css	etag:%2286dc-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/animate.min.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:01	6344/6344	---M-Z	200	added ('OK')	text/css	etag:%2218c8-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/price_rangs.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/price_rangs.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:02	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/magnific-popup.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:02	2679/2679	---M-Z	200	added ('OK')	text/css	etag:%22a77-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:03	1227/1227	---M-Z	200	added ('OK')	text/css	etag:%224cb-5c1f9ace870af-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/themify-icons.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:03	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/slick.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/slick.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:04	3881/3881	---M-Z	200	added ('OK')	text/css	etag:%22f29-5c1f9ace8610f-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/nice-select.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/nice-select.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:06	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2015%20Jan%202024%2007:05:05%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	E:/ecom/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:07	1174/1174	---M--	200	added ('OK')	image/png	etag:%22496-5bb3fd601de86%22	https://preview.colorlib.com/theme/capitalshop/assets/img/icon/loder.png	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/icon/loder.png	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:08	37211/37211	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:51%20GMT	https://preview.colorlib.com/theme/capitalshop/index.html	E:/ecom/preview.colorlib.com/theme/capitalshop/index-2.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:08	100981/100981	---M-Z	200	added ('OK')	text/css	etag:%2218a75-5c1f9ace870af-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/css/style.css	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/css/style.css	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:10	3310/3310	---M--	200	added ('OK')	image/png	etag:%22cee-5bb3fd57425ab%22	https://preview.colorlib.com/theme/capitalshop/assets/img/logo/logo.png	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/logo/logo.png	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:10	20561/20561	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:57%20GMT	https://preview.colorlib.com/theme/capitalshop/categories.html	E:/ecom/preview.colorlib.com/theme/capitalshop/categories.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:11	5282/5282	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:53%20GMT	https://preview.colorlib.com/theme/capitalshop/login.html	E:/ecom/preview.colorlib.com/theme/capitalshop/login.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:11	14392/14392	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:56%20GMT	https://preview.colorlib.com/theme/capitalshop/cart.html	E:/ecom/preview.colorlib.com/theme/capitalshop/cart.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:17	22008/22008	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:57%20GMT	https://preview.colorlib.com/theme/capitalshop/pro-details.html	E:/ecom/preview.colorlib.com/theme/capitalshop/pro-details.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:17	17126/17126	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:55%20GMT	https://preview.colorlib.com/theme/capitalshop/checkout.html	E:/ecom/preview.colorlib.com/theme/capitalshop/checkout.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:18	19488/19488	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:51%20GMT	https://preview.colorlib.com/theme/capitalshop/blog.html	E:/ecom/preview.colorlib.com/theme/capitalshop/blog.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:18	34915/34915	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:54%20GMT	https://preview.colorlib.com/theme/capitalshop/elements.html	E:/ecom/preview.colorlib.com/theme/capitalshop/elements.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:19	22358/22358	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:54%20GMT	https://preview.colorlib.com/theme/capitalshop/blog-details.html	E:/ecom/preview.colorlib.com/theme/capitalshop/blog-details.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:19	45097/45097	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:52%20GMT	https://preview.colorlib.com/theme/capitalshop/contact.html	E:/ecom/preview.colorlib.com/theme/capitalshop/contact.html	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:20	36221/36221	---M--	200	added ('OK')	image/jpeg	etag:%228d7d-5bb3fd35fed26%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/items1.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/items1.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:20	38091/38091	---M--	200	added ('OK')	image/jpeg	etag:%2294cb-5bb3fd36bd3fe%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/items2.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/items2.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:24	18106/18106	---M--	200	added ('OK')	image/jpeg	etag:%2246ba-5bb3fd325a370%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest1.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest1.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:24	24420/24420	---M--	200	added ('OK')	image/jpeg	etag:%225f64-5bb3fd3389ec2%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest2.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest2.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:25	27347/27347	---M--	200	added ('OK')	image/jpeg	etag:%226ad3-5bb3fd3260130%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest3.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest3.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:25	43416/43416	---M--	200	added ('OK')	image/jpeg	etag:%22a998-5bb3fd37ceaf2%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/items3.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/items3.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
12:35:26	31491/31491	---M--	200	added ('OK')	image/jpeg	etag:%227b03-5bb3fd35c5349%22	https://preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest4.jpg	E:/ecom/preview.colorlib.com/theme/capitalshop/assets/img/gallery/latest4.jpg	(from https://preview.colorlib.com/theme/capitalshop/)
